User ID,textIndex,emotionIndex,delFreq,leftFreq,TotTime,D1U1_mean,D1U1_std,D1D2_mean,D1D2_std,U1D2_mean,U1D2_std,typeWith,typistType,pcTimeAverage,ageRange,gender,status,degree,country,Speed_Proxy
15854,FR,N,5,0,,83.97069100789172,36.09369264025364,287.6480112614783,257.44683128762904,183.65945882423028,263.17409689763286,2 hands,Touch Typist,less than an hour per day,20-29,Female,Student,College/University,Tunisia,3.476471106525323
11547,FR,N,2,0,,98.98571331499903,34.40233479807501,404.07406297602137,438.72377529803555,269.3849798621782,423.94034412931245,2 hands,Touch Typist,less than an hour per day,20-29,Female,Student,College/University,Tunisia,2.4747938351572496
18228,FR,N,6,0,,98.30126033817521,26.069062835100006,283.89489814713556,313.372716125083,182.49190307644793,331.02676077198936,2 hands,Two Finger Typist,less than an hour per day,20-29,Female,Student,College/University,Tunisia,3.5224303308251956
16446,FR,N,6,1,,119.2111399865289,43.70616900810111,291.0156449008736,201.57115242262262,180.03352510417278,210.28658926115978,2 hands,Touch Typist,More than 3 hours per day,20-29,Female,Professional,College/University,Tunisia,3.4362413757536032
18790,FR,N,9,0,,105.67317869503633,36.70298433855569,472.0620315411898,490.66904710268784,337.535219079102,490.9364792460014,1 hand,Two Finger Typist,less than an hour per day,20-29,Male,Student,College/University,Tunisia,2.118365666340918
130,FR,H,0,0,,106.37735849056604,23.2306382698949,258.52830188679246,163.72286666258566,152.1509433962264,164.88322163864652,2 hands,Touch Typist,More than 3 hours per day,20-29,Female,Student,College/University,Tunisia,3.86804846007882
13823,FI,N,7,0,82766.10169168393,91.96363272022316,40.07916128533538,337.2244144565638,309.12854485471985,230.72834700572955,320.8285076058457,2 hands,Touch Typist,between 1 hour and 3 hours per day,30-39,Male,Professional,College/University,France,2.9653843468347247
18435,FI,N,2,0,92038.84221516576,97.29088709948526,35.69213960881236,291.8447889815484,294.9563964873595,233.3108778316257,277.2993362695333,2 hands,Touch Typist,less than an hour per day,20-29,Female,Student,College/University,Tunisia,3.4264788605261822
19272,FR,N,9,0,,87.79307259999338,69.4925379048898,411.4249668077202,523.201821908516,308.5891073908302,503.8125045406223,2 hands,Touch Typist,More than 3 hours per day,20-29,Female,Student,College/University,Tunisia,2.430576850401378
16983,FI,N,19,0,156674.08882618777,144.83236475509048,102.3210380901088,369.83247330500086,520.6306749200403,249.65052085731847,438.34136913749086,2 hands,Touch Typist,More than 3 hours per day,20-29,Female,Student,College/University,Tunisia,2.703926972835887
19705,FI,N,0,0,99508.0461365108,86.36495645720947,44.95675522595897,386.95304033635296,320.63998976896056,266.3269489360127,332.60145407103346,2 hands,Touch Typist,between 1 hour and 3 hours per day,16-19,Female,Student,High School,Tunisia,2.5842929135038335
13211,FR,N,2,0,,68.20768428537694,34.728446887882946,223.2786316503469,118.80254837200663,163.4008638445224,133.5283797938014,2 hands,Touch Typist,More than 3 hours per day,20-29,Female,Professional,College/University,Tunisia,4.478708923503232
133,FI,N,6,0,69013.0,79.4392523364486,47.50017100440548,322.24766355140184,311.236575582676,242.80841121495328,315.39873522644393,2 hands,Touch Typist,between 1 hour and 3 hours per day,20-29,Female,Student,College/University,France,3.103203259813518
18141,FI,A,13,1,46570.72222815419,90.83670217108732,60.04873964289895,257.6452686158328,182.11078248647152,177.2834185417214,178.9622924270046,2 hands,Two Finger Typist,More than 3 hours per day,30-39,Male,Professional,College/University,Spain,3.881305507267321
11910,FR,N,18,0,,160.94966579850188,87.05366174893203,189.99676344571984,119.37742512527434,44.00590557093099,152.11089187410371,2 hands,Touch Typist,More than 3 hours per day,20-29,Female,Student,College/University,France,5.263247551507318
14196,FI,S,5,1,47466.46943851142,119.28729923858164,76.48118706121728,387.3837301489713,440.5172522693671,283.82703556628104,411.90309831402425,2 hands,Two Finger Typist,More than 3 hours per day,20-29,Female,Student,College/University,Bahamas,2.581419719448317
15209,FR,N,0,12,,87.88317656112103,80.84191613678745,368.93542425762803,508.4134716209884,302.3518002626502,442.9480109314684,2 hands,Touch Typist,More than 3 hours per day,20-29,Female,Student,College/University,Tunisia,2.7105014434767285
